id_prov,id_depto,nombre
6,505,MAGDALENA
6,28,ALMIRANTE BROWN
6,260,ESTEBAN ECHEVERRIA
6,672,RAUCH
6,532,MERCEDES
6,70,BARADERO
6,420,LA COSTA
2,35,COMUNA 5
6,21,ALBERTI
10,21,ANDALGALA
10,70,LA PAZ
14,42,GENERAL SAN MARTIN
14,28,CRUZ DEL EJE
14,49,ISCHILIN
18,98,MBURUCUYA
22,147,SAN LORENZO
26,35,FUTALEUFU
38,70,SANTA BARBARA
38,105,VALLE GRANDE
38,77,SANTA CATALINA
42,140,TOAY
42,77,HUCAL
46,14,CAPITAL
46,7,ARAUCO
46,63,GENERAL BELGRANO
46,70,GENERAL JUAN F QUIROGA
54,70,LEANDRO N. ALEM
54,7,APOSTOLES
54,77,LIBERTADOR GRL SAN MARTIN
54,21,CANDELARIA
58,28,COLLON CURA
62,56,ÑORQUINCO
66,63,GUACHIPAS
66,105,LOS ANDES
66,147,ROSARIO DE LERMA
66,133,RIVADAVIA
74,56,GENERAL JUAN MARTIN DE PUEYRREDON
78,49,RIO CHICO
82,112,SAN JUSTO
82,35,GARAY
82,98,SAN JAVIER
2,0,Ciudad Autónoma de Buenos Aires
6,462,LEANDRO N. ALEM
6,665,RAMALLO
6,270,EZEIZA
6,581,NECOCHEA
2,70,COMUNA 10
2,14,COMUNA 2
2,21,COMUNA 3
6,568,MORON
6,700,SAAVEDRA
6,847,TRES LOMAS
10,91,SANTA MARIA
10,14,ANCASTI
14,14,CAPITAL
14,7,CALAMUCHITA
14,140,SAN JUSTO
34,21,LAISHI
42,105,MARACO
42,70,GUATRACHE
50,28,GUAYMALLEN
50,7,CAPITAL
50,70,MAIPU
54,119,25 DE MAYO
58,14,AÑELO
58,56,LACAR
62,91,25 DE MAYO
62,70,PILCANIYEU
66,112,METAN
70,63,9 DE JULIO
78,35,LAGO BUENOS AIRES
82,126,SAN MARTIN
86,77,GENERAL TABOADA
86,147,RIO HONDO
86,56,COPO
86,84,GUASAYAN
90,105,TAFI VIEJO
90,49,LA COCHA
94,28,ANTARTIDA ARGENTINA
6,441,LA PLATA
6,735,SAN ANTONIO DE ARECO
6,245,ENSENADA
6,648,PRESIDENTE PERON
6,218,CHASCOMUS
6,351,GENERAL PINTO
6,784,SUIPACHA
6,399,GUAMINI
6,553,MONTE HERMOSO
10,84,POMAN
10,77,PACLIN
14,56,JUAREZ CELMAN
18,63,GENERAL PAZ
22,112,O HIGGINS
22,21,COMANDANTE FERNANDEZ
26,14,CUSHAMEN
30,56,GUALEGUAYCHU
30,8,COLON
30,63,ISLAS DEL IBICUY
30,98,URUGUAY
30,84,PARANA
42,35,CONHELO
54,84,MONTECARLO
54,91,OBERA
58,84,ÑORQUIN
66,140,ROSARIO DE LA FRONTERA
66,154,SAN CARLOS
82,119,SAN LORENZO
82,91,SAN CRISTOBAL
6,547,MONTE
6,161,CARMEN DE ARECO
6,154,CARLOS TEJEDOR
6,392,GENERAL VILLEGAS
6,763,SAN NICOLAS
6,805,TIGRE
6,98,BERISSO
2,28,COMUNA 4
6,854,25 DE MAYO
6,412,JOSE C. PAZ
6,602,PATAGONES
6,749,SAN FERNANDO
10,112,VALLE VIEJO
14,147,SANTA MARIA
18,119,PASO DE LOS LIBRES
26,98,TEHUELCHES
26,49,GASTRE
26,84,RIO SENGUER
38,14,EL CARMEN
38,94,TILCARA
38,28,HUMAHUACA
38,98,TUMBAYA
46,28,CORONEL FELIPE VARELA
50,14,GENERAL ALVEAR
58,98,PICUN LEUFU
58,77,MINAS
58,63,LONCOPUE
66,14,CACHI
74,63,LIBERTADOR GRL SAN MARTIN
82,56,IRIONDO
86,140,QUEBRACHOS
86,21,ATAMISQUI
86,91,JIMENEZ
90,77,RIO CHICO
90,112,TRANCAS
90,56,LEALES
90,119,YERBA BUENA
6,112,BRAGADO
6,343,GENERAL PAZ
6,595,OLAVARRIA
6,630,PILA
6,427,LA MATANZA
6,778,SAN VICENTE
6,329,GENERAL LAS HERAS
6,336,GENERAL LAVALLE
14,119,RIO SEGUNDO
14,168,TOTORAL
14,112,RIO SECO
18,140,SAN LUIS DEL PALMAR
18,77,ITATI
18,154,SAN MIGUEL
34,7,BERMEJO
38,7,COCHINOCA
42,91,LIMAY MAHUIDA
50,112,SANTA ROSA
66,119,MOLINOS
66,84,LA CANDELARIA
70,98,SANTA LUCIA
70,119,VALLE FERTIL
74,28,CHACABUCO
78,7,CORPEN AIKE
86,63,CHOYA
6,826,TRENQUE LAUQUEN
6,35,AVELLANEDA
6,364,GENERAL RODRIGUEZ
6,497,LUJAN
6,413,JUNIN
6,515,MALVINAS ARGENTINAS
6,287,GENERAL ALVEAR
6,707,SALADILLO
6,448,LAPRIDA
6,868,VILLA GESELL
14,77,POCHO
14,84,PRESIDENTE ROQUE SAENZ PEÑA
18,35,CURUZU CUATIA
18,49,ESQUINA
18,168,SANTO TOME
22,49,GENERAL BELGRANO
22,133,QUITILIPI
22,84,LIBERTADOR GENERAL SAN MARTIN
22,36,12 DE OCTUBRE
22,154,SARGENTO CABRAL
26,21,ESCALANTE
46,84,GENERAL OCAMPO
50,91,SAN CARLOS
54,56,GUARANI
62,35,EL CUY
70,91,SAN MARTIN
70,126,25 DE MAYO
74,21,CORONEL PRINGLES
78,21,GUER AIKE
82,42,GENERAL LOPEZ
82,14,CASEROS
82,63,LA CAPITAL
82,7,BELGRANO
86,168,SALAVINA
86,70,FIGUEROA
90,98,TAFI DEL VALLE
90,21,CHICLIGASTA
6,655,PUNTA INDIO
6,84,BENITO JUAREZ
6,686,ROJAS
6,693,ROQUE PEREZ
6,210,CHACABUCO
6,91,BERAZATEGUI
6,406,HIPOLITO YRIGOYEN
6,175,COLON
6,140,CAPITAN SARMIENTO
6,49,AZUL
6,833,TRES ARROYOS
6,742,SAN CAYETANO
6,756,SAN ISIDRO
14,175,TULUMBA
14,35,GENERAL ROCA
18,7,BELLA VISTA
18,175,SAUCE
22,168,25 DE MAYO
26,77,RAWSON
26,91,SARMIENTO
26,42,GAIMAN
26,63,MARTIRES
30,21,DIAMANTE
34,49,PILCOMAYO
38,42,PALPALA
38,84,SUSQUES
42,14,CALEU CALEU
46,77,GENERAL LAMADRID
50,35,JUNIN
50,63,LUJAN DE CUYO
54,63,IGUAZU
58,91,PEHUENCHES
62,49,9 DE JULIO
66,98,LA VIÑA
70,70,POCITO
70,35,CAUCETE
82,28,CONSTITUCION
86,49,CAPITAL
86,175,SAN MARTIN
86,42,BELGRANO
6,231,DAIREAUX
6,224,CHIVILCOY
6,651,PUAN
6,525,MARCOS PAZ
6,539,MERLO
6,476,LOBERIA
6,301,GENERAL BELGRANO
6,277,FLORENTINO AMEGHINO
6,721,SALLIQUELO
10,49,CAPITAL
14,91,PUNILLA
14,63,MARCOS JUAREZ
18,84,ITUZAINGO
22,7,ALMIRANTE BROWN
22,56,GENERAL DONOVAN
30,113,VILLAGUAY
30,42,FELICIANO
34,63,RAMON LISTA
38,56,SAN ANTONIO
46,91,GENERAL SAN MARTIN
46,105,INDEPENDENCIA
54,28,CAPITAL
54,42,ELDORADO
58,112,ZAPALA
58,49,HUILICHES
62,28,CONESA
62,77,SAN ANTONIO
66,42,CHICOANA
70,7,ALBARDON
74,7,AYACUCHO
86,112,MITRE
86,14,ALBERDI
6,588,9 DE JULIO
6,490,LOMAS DE ZAMORA
6,679,RIVADAVIA
6,280,GENERAL ALVARADO
6,728,SAN ANDRES DE GILES
2,105,COMUNA 15
2,84,COMUNA 12
6,770,SAN PEDRO
6,840,TRES DE FEBRERO
6,819,TORNQUIST
6,168,CASTELLI
14,98,RIO CUARTO
14,133,SAN JAVIER
18,112,MONTE CASEROS
22,14,BERMEJO
22,70,INDEPENDENCIA
30,15,CONCORDIA
30,70,LA PAZ
38,49,RINCONADA
46,21,CASTRO BARROS
46,42,CHILECITO
50,21,GODOY CRUZ
50,98,SAN MARTIN
50,84,RIVADAVIA
66,91,LA POMA
66,161,SANTA VICTORIA
70,84,RIVADAVIA
70,133,ZONDA
86,98,JUAN F IBARRA
6,638,PILAR
6,623,PERGAMINO
6,574,NAVARRO
6,434,LANUS
6,182,CORONEL DE MARINA L ROSALES
6,56,BAHIA BLANCA
6,518,MAR CHIQUITA
2,63,COMUNA 9
2,42,COMUNA 6
6,791,TANDIL
10,7,AMBATO
10,98,SANTA ROSA
10,63,FRAY MAMERTO ESQUIU
18,28,CONCEPCION
26,7,BIEDMA
26,105,TELSEN
30,35,FEDERAL
30,49,GUALEGUAY
34,35,PATIÑO
42,133,REALICO
42,147,TRENEL
42,154,UTRACAN
42,42,CURACO
54,35,CONCEPCION
58,21,CATAN LIL
66,49,GENERAL GUEMES
66,7,ANTA
66,126,ORAN
66,21,CAFAYATE
70,42,CHIMBAS
70,14,ANGACO
86,133,PELLEGRINI
86,126,OJO DE AGUA
6,105,BOLIVAR
6,77,ARRECIFES
6,252,ESCOBAR
6,266,EXALTACION DE LA CRUZ
2,91,COMUNA 13
2,49,COMUNA 7
2,98,COMUNA 14
6,408,HURLINGHAM
6,410,ITUZAINGO
6,357,GENERAL PUEYRREDON
6,812,TORDILLO
10,35,BELEN
10,56,EL ALTO
18,147,SAN MARTIN
18,91,LAVALLE
22,63,GENERAL GUEMES
22,126,1§ DE MAYO
30,105,VICTORIA
34,14,FORMOSA
42,126,RANCUL
42,21,CAPITAL
46,56,GENERAL ANGEL V PEÑALOZA
50,49,LAS HERAS
58,35,CONFLUENCIA
66,35,CERRILLOS
70,56,JACHAL
82,21,CASTELLANOS
86,154,RIVADAVIA
86,105,LORETO
90,63,LULES
90,14,CRUZ ALTA
90,91,SIMOCA
6,875,VILLARINO
6,63,BALCARCE
6,134,CAÑUELAS
6,861,VICENTE LOPEZ
6,511,MAIPU
6,308,GENERAL GUIDO
14,126,SAN ALBERTO
14,70,MINAS
22,77,LIBERTAD
26,56,LANGUIÑEO
26,70,PASO DE INDIOS
30,28,FEDERACION
42,56,CHAPALEUFU
42,49,CHALILEO
42,84,LIHUEL CALEL
46,112,ROSARIO VERA PEÑALOZA
50,77,MALARGUE
54,98,SAN IGNACIO
82,77,9 DE JULIO
86,28,AVELLANEDA
6,322,GENERAL LA MADRID
6,609,PEHUAJO
6,189,CORONEL DORREGO
2,77,COMUNA 11
6,469,LINCOLN
14,105,RIO PRIMERO
14,161,TERCERO ARRIBA
18,105,MERCEDES
18,161,SAN ROQUE
22,43,FRAY JUSTO SANTA MARIA DE ORO
26,28,FLORENTINO AMEGHINO
38,112,YAVI
42,119,QUEMU QUEMU
42,28,CATRILO
46,98,VINCHINA
58,105,PICUNCHES
58,70,LOS LAGOS
62,63,PICHI MAHUIDA
70,77,RAWSON
74,42,GOBERNADOR DUPUY
74,35,GENERAL PEDERNERA
82,49,GENERAL OBLIGADO
82,105,SAN JERONIMO
86,161,ROBLES
90,35,GRANEROS
90,70,MONTEROS
90,42,JUAN B ALBERDI
6,274,FLORENCIO VARELA
6,616,PELLEGRINI
2,56,COMUNA 8
6,126,CAMPANA
6,466,LEZAMA
6,644,PINAMAR
10,105,TINOGASTA
10,28,ANTOFAGASTA DE LA SIERRA
18,133,SAN COSME
18,56,GENERAL ALVEAR
18,126,SALADAS
22,140,SAN FERNANDO
22,105,9 DE JULIO
22,91,MAIPU
22,28,CHACABUCO
30,91,TALA
34,28,MATACOS
38,21,DOCTOR MANUEL BELGRANO
42,7,ATREUCO
46,49,FAMATINA
46,119,SAN BLAS DE LOS SAUCES
50,105,SAN RAFAEL
50,119,TUNUYAN
54,49,GENERAL MANUEL BELGRANO
62,84,VALCHETA
66,56,GENERAL JOSE DE SAN MARTIN
66,70,IRUYA
70,28,CAPITAL
74,14,BELGRANO
78,28,LAGO ARGENTINO
78,42,MAGALLANES
82,84,ROSARIO
82,133,VERA
90,28,FAMAILLA
94,7,RIO GRANDE
94,14,USHUAIA
6,385,GENERAL VIAMONTE
6,798,TAPALQUE
6,147,CARLOS CASARES
6,483,LOBOS
2,7,COMUNA 1
6,203,CORONEL SUAREZ
6,294,GENERAL ARENALES
10,42,CAPAYAN
18,70,GOYA
22,161,TAPENAGA
22,119,PRESIDENCIA DE LA PLAZA
38,35,LEDESMA
42,63,CHICAL CO
46,126,SANAGASTA
46,35,CHAMICAL
50,42,LA PAZ
50,126,TUPUNGATO
50,56,LAVALLE
54,14,CAINGUAS
54,105,SAN JAVIER
58,42,CHOS MALAL
58,7,ALUMINE
62,42,GENERAL ROCA
62,14,AVELLANEDA
62,7,ADOLFO ALSINA
66,28,CAPITAL
66,77,LA CALDERA
78,14,DESEADO
86,35,BANDA
86,119,MORENO
90,84,CAPITAL
6,238,DOLORES
6,560,MORENO
6,315,GENERAL JUAN MADARIAGA
6,196,CORONEL PRINGLES
6,119,BRANDSEN
6,14,ADOLFO GONZALES CHAVES
6,658,QUILMES
6,7,ADOLFO ALSINA
6,714,SALTO
6,760,SAN MIGUEL
6,882,ZARATE
6,371,GENERAL SAN MARTIN
6,42,AYACUCHO
6,455,LAS FLORES
14,21,COLON
14,182,UNION
14,154,SOBREMONTE
18,42,EMPEDRADO
18,21,CAPITAL
18,14,BERON DE ASTRADA
22,39,2 DE ABRIL
22,98,MAYOR LUIS J FONTANA
30,88,SAN SALVADOR
30,77,NOGOYA
34,56,PIRANE
34,42,PILAGAS
38,63,SAN PEDRO
42,98,LOVENTUE
42,112,PUELEN
54,112,SAN PEDRO
62,21,BARILOCHE
70,49,IGLESIA
70,105,SARMIENTO
70,21,CALINGASTA
70,112,ULLUM
74,49,JUNIN
82,70,LAS COLONIAS
86,7,AGUIRRE
86,189,SILIPICA
86,182,SARMIENTO
90,7,BURRUYACU
